Bearing_C_d,Bearing_C_D,Bearing_C_C_0,Bearing_C_C,Bearing_C_Name,Bearing_D_d,Bearing_D_D,Bearing_D_C_0,Bearing_D_C,Bearing_D_Name,f_s_D,L_10_D,f_s_C,L_10_C,P_d_0,P_c_0,P_d,P_c
60.0,125.0,197000.0,151000.0,T 7 FC060,80.0,140.0,385000.0,256000.0,HB 33216 J,41.82136853009079,65151.575169638694,48.14857454807815,51513.16283676144,9205.820218986608,4091.5022272006854,9205.820218986608,5826.415905953909
60.0,125.0,197000.0,151000.0,T 7 FC060,80.0,170.0,330000.0,276000.0,HB 30316 J,35.7792835636299,83193.4767430273,51.74860518859859,69936.45583858433,9223.21430537109,3806.8658910134964,9223.21430537109,5315.76607699979
60.0,125.0,197000.0,151000.0,T 7 FC060,80.0,170.0,505000.0,385000.0,HB 32316 J,55.71009759667009,267307.3510964391,50.99877742216786,68986.63087144826,9064.783976077344,3862.8376984262595,9064.783976077344,5337.617722338082
60.0,130.0,177000.0,151000.0,HR 30312 DJ,65.0,140.0,340000.0,267000.0,HR 32313 J,36.89629545788665,74710.85254820072,46.458456297048976,69883.61762505694,9215.017274243026,3809.8553871072763,9215.017274243026,5316.971515252753
60.0,130.0,177000.0,151000.0,HR 30312 DJ,70.0,150.0,390000.0,312000.0,HB 32314 J,44.23639229077011,145512.04999189536,43.9351798817044,61899.49844615119,8816.270491420097,4028.662235515435,8816.270491420097,5514.051376468187
60.0,130.0,177000.0,151000.0,HR 30312 DJ,75.0,160.0,300000.0,253000.0,HB 30315 J,32.38595448285617,61355.461256557646,46.66706884425531,70175.38556671226,9263.27492242997,3792.824455950132,9263.27492242997,5310.329935888207
60.0,130.0,177000.0,151000.0,HR 30312 DJ,75.0,160.0,445000.0,340000.0,HB 32315 J,48.828192819645444,173499.61812082227,46.025684913572555,69274.55110629172,9113.58734171623,3845.6787841913097,9113.58734171623,5330.95272503669
60.0,130.0,177000.0,151000.0,HR 30312 DJ,80.0,140.0,385000.0,256000.0,HB 33216 J,41.85877550228621,65346.02659055644,43.231327691796835,51490.91291653431,9197.593464695889,4094.2531596961767,9197.593464695889,5827.171093696362
60.0,130.0,177000.0,151000.0,HR 30312 DJ,80.0,170.0,330000.0,276000.0,HB 30316 J,35.81111029736058,83440.40972366699,46.458456297048976,69883.61762505694,9215.017274243026,3809.8553871072763,9215.017274243026,5316.971515252753
60.0,130.0,177000.0,151000.0,HR 30312 DJ,80.0,170.0,505000.0,385000.0,HB 32316 J,55.762148249211016,268140.7544428109,45.78471515401863,68933.20944508268,9056.322538777822,3865.9189951182716,9056.322538777822,5338.85833994129
60.0,130.0,177000.0,151000.0,HR 31312 J,65.0,140.0,340000.0,267000.0,HR 32313 J,36.89629545788665,74710.85254820072,46.458456297048976,69883.61762505694,9215.017274243026,3809.8553871072763,9215.017274243026,5316.971515252753
60.0,130.0,177000.0,151000.0,HR 31312 J,70.0,150.0,390000.0,312000.0,HB 32314 J,44.23639229077011,145512.04999189536,43.9351798817044,61899.49844615119,8816.270491420097,4028.662235515435,8816.270491420097,5514.051376468187
60.0,130.0,177000.0,151000.0,HR 31312 J,75.0,160.0,300000.0,253000.0,HB 30315 J,32.38595448285617,61355.461256557646,46.66706884425531,70175.38556671226,9263.27492242997,3792.824455950132,9263.27492242997,5310.329935888207
60.0,130.0,177000.0,151000.0,HR 31312 J,75.0,160.0,445000.0,340000.0,HB 32315 J,48.828192819645444,173499.61812082227,46.025684913572555,69274.55110629172,9113.58734171623,3845.6787841913097,9113.58734171623,5330.95272503669
60.0,130.0,177000.0,151000.0,HR 31312 J,80.0,140.0,385000.0,256000.0,HB 33216 J,41.85877550228621,65346.02659055644,43.231327691796835,51490.91291653431,9197.593464695889,4094.2531596961767,9197.593464695889,5827.171093696362
