d,D,T,B,C,r min,r1 min,C_r,C_0r,Pu,P0,Limiting Speed Oil (rpm),Limiting Speed Grease (rpm),name,Designation,da_min,da_max,Col5,Col6,Col7,Col8,Col9,Col10,Col11,a,e,Y1,Y0,
60,130,33.5,31,26,3,2.5,174000,201000,17700,20500,3000,4000,HR 30312 J,2FB,78,77,118,112,120,4,7.5,2.5,2,26,0.35,1.7,0.96,
60,130,33.5,31,22,3,2.5,151000,177000,15400,18100,2600,3800,HR 30312 DJ,7FB,84,74,118,103,125,4,11.5,2.5,2,40.3,0.83,0.73,0.4,
60,130,33.5,31,22,3,2.5,151000,177000,15400,18100,2600,3800,HR 31312 J,7FB,84,74,118,103,125,4,11.5,2.5,2,40.3,0.83,0.73,0.4,
60,130,48.5,46,37,3,2.5,233000,295000,23700,30000,3000,4000,HR 32312 J,2FD,81,74,118,107,120,4,11.5,2.5,2,31.4,0.35,1.7,0.96,
60,130,48.5,46,35,3,2.5,196000,249000,20000,25400,2800,3800,HR 32312 C,,81,74,116,102,125,4,13.5,2.5,2,39.9,0.58,1,0.57,
65,90,17,17,14,1,1,49000,86500,5000,8800,3600,5000,HR 32913 J,2BC,74,70,84,82,86,4,3,1,1,16.8,0.35,1.7,0.93,
65,100,23,23,17.5,1.5,1.5,86500,132000,8800,13500,3400,4500,HR 32013 XJ,4CC,76,71,91,90,97,4,5.5,1.5,1.5,22.4,0.46,1.3,0.72,
65,100,27,27,21,1.5,1.5,97500,156000,9900,15900,3400,4500,HR 33013 J,2CE,76,71,91,90,96,5,6,1.5,1.5,21.1,0.35,1.7,0.95,
65,110,34,34,26.5,1.5,1.5,148000,218000,15100,22200,3200,4300,HR 33113 J,3DE,76,73,101,96,106,6,7.5,1.5,1.5,26,0.39,1.5,0.85,
65,120,24.75,23,20,2,1.5,122000,151000,12500,15400,3000,4000,HR 30213 J,3EB,77,78,111,106,113,4,4.5,2,1.5,23.8,0.41,1.5,0.81,
65,120,32.75,31,27,2,1.5,157000,202000,16000,20600,3000,4000,HR 32213 J,3EC,77,75,111,104,115,4,5.5,2,1.5,27.1,0.41,1.5,0.81,
65,120,41,41,32,2,1.5,202000,282000,20600,28800,3000,4000,HR 33213 J,3EE,77,74,111,102,115,6,9,2,1.5,29.2,0.39,1.5,0.85,
65,140,36,33,28,3,2.5,200000,233000,20400,23800,2600,3600,HR 30313 J,2GB,83,83,128,121,130,4,8,2.5,2,27.9,0.35,1.7,0.96,
65,140,36,33,23,3,2.5,173000,205000,17700,20900,2400,3400,HR 30313 DJ,7GB,89,80,128,111,133,4,13,2.5,2,43.2,0.83,0.73,0.4,
65,140,36,33,23,3,2.5,173000,205000,17700,20900,2400,3400,HR 31313 J,7GB,89,80,128,111,133,4,13,2.5,2,43.2,0.83,0.73,0.4,
65,140,51,48,39,3,2.5,267000,340000,27300,35000,2800,3800,HR 32313 J,2GD,86,80,128,116,130,4,12,2.5,2,34,0.35,1.7,0.96,
70,100,20,20,16,1,1,70000,113000,7150,11500,3200,4500,HB 32914 J,6C65,79,76,70,93,96,4,4,1,1,17.6,0.32,1.9,1.1,
70,110,25,25,19,1.5,1.5,104000,158000,10600,16100,3200,4300,HB 32014 XJ,4CE,81,77,101,98,105,5,6,1.5,1.5,23.7,0.43,1.4,0.76,
70,110,31,31,25.5,1.5,1.5,127000,204000,12900,20800,3000,4300,HB 33014 J,2CE,81,78,101,100,105,5,5.5,1.5,1.5,22.2,0.28,2.1,1.2,
70,120,37,37,29,2,1.5,177000,262000,18100,26700,3000,4000,HB 33114 J,3DE,82,79,111,104,115,6,8,2,1.5,27.9,0.38,1.6,0.87,
70,125,26.25,24,21,2,1.5,132000,163000,13500,16700,2800,4000,HB 30214 J,3EB,82,81,116,110,118,4,5,2,1.5,25.6,0.42,1.4,0.79,
70,125,33.25,31,27,2,1.5,157000,205000,15100,20900,2800,4000,HB 32214 J,3EC,82,80,115,108,119,4,6,2,1.5,28.6,0.42,1.4,0.79,
70,125,41,41,32,2,1.5,209000,299000,21300,35500,2800,4000,HB 33214 J,3EE,82,78,116,107,120,7,9,2,1.5,30.4,0.41,1.5,0.81,
70,140,39,35.5,27,3,2,177000,229000,18000,23400,2400,3400,T7 ECO70,7FC,88,79,125,106,133,5,12,2.5,2.5,46.4,0.87,0.69,0.38,
70,150,38,35,30,3,2.5,227000,268000,23200,27400,2400,3400,HB 303014 J,2GB,88,89,138,132,140,4,8,2.5,2,29.7,0.35,1.7,0.96,
70,150,38,35,25,3,2.5,192000,229000,19800,23300,2200,3200,HB 30314 DJ,7GB,94,85,138,118,142,4,13,2.5,2,45.8,0.83,0.73,0.4,
70,150,38,35,25,3,2.5,192000,229000,19800,23300,2200,3200,HB 31314 J,7GB,94,85,138,118,142,4,13,2.5,2,45.8,0.83,0.73,0.4,
70,150,51,51,42,3,2.5,312000,390000,32500,39300,2400,3400,HB 32314 J,2GD,91,86,139,126,144,4,12,2.5,2,53.1,0.58,1.6,0.88,
70,150,54,51,42,3,2.5,280000,390000,28800,39500,2400,3400,HB 32314 CJ,5GD,91,84,138,115,141,4,12,2.5,,43.3,0.55,1.1,0.6,
75,105,20,20,16,1,,72500,120000,7400,12900,3200,4300,HB 32915 J,2BC,84,81,90,98,101,4,4,,,18.7,0.33,1.8,0.96,
75,115,25,25,19,1.5,1.5,109000,171000,11100,17400,3000,4000,HB 32015 XJ,4CE,86,82,106,103,110,5,6,1.5,1.5,25.1,0.46,1.3,0.72,
75,115,31,31,25.5,1.5,1.5,133000,220000,13500,22500,3000,4000,HB 33015 J,2CE,86,83,106,104,110,6,5.5,1.5,1.5,23,0.3,2,1.1,
75,125,37,37,29,2,2,182000,275000,18800,28100,2800,3800,HB 33115 J,3DE,87,83,115,109,120,6,8,2,,29.2,0.4,1.5,0.83,
75,130,27.25,25,22,2,1.5,143000,182000,14600,18500,2800,3800,HB 30215 J,4DB,87,85,121,115,124,4,5,2,1.5,27,0.44,1.4,0.76,
75,130,33.25,31,27,2,1.5,165000,219000,16900,22400,2800,3800,HB 32215 J,4DC,87,84,121,113,125,4,6,2,1.5,29.8,0.44,1.4,0.76,
75,130,41,41,31,2,1.5,215000,315000,21900,32000,2800,3800,HB 33215 J,3EE,87,83,121,111,125,7,10,2,1.5,31.6,0.43,1.4,0.77,
75,160,40,37,31,3,2.5,253000,300000,25800,30500,2400,3200,HB 30315 J,2GB,93,95,148,141,149,4,9,2.5,2,31.8,0.35,1.7,0.96,
75,160,40,37,26,3,2.5,211000,251000,21500,25600,2200,3000,HB 30315 DGJ,7GB,99,91,148,129,152,6,14,2.5,2,48.8,0.83,0.73,0.4,
75,160,40,37,26,3,2.5,211000,251000,21500,25600,2200,3000,HB 31315 J,7GB,99,91,148,129,152,6,14,2.5,2,48.8,0.83,0.73,0.4,
75,160,58,55,43,3,2.5,340000,445000,35000,45500,2400,3200,HB 32315 J,2GD,96,91,148,134,160,4,13,2.5,2,38.7,0.36,1.7,0.96,
75,160,58,55,43,3,2.5,310000,420000,32000,43000,2400,3200,HB 32315 CA,5GD,96,90,148,124,153,4,13,2.5,2,41.7,0.58,1,0.57,
80,110,20,20,16,1,,75000,122000,7600,13100,3000,4000,HB 32916 J,2BC,89,86,104,102,106,4,4,1,1,19.8,0.35,1.7,0.94,
80,125,29,29,22,1.5,1.5,142000,229000,14500,23700,2800,4000,HB 32016 XJ,4CE,91,85,116,112,121,6,7,1.5,1.5,26.9,0.42,1.3,0.74,
80,125,36,36,29.5,1.5,1.5,172000,282000,17500,28800,2800,3600,HB 33016 J,2CE,91,88,116,112,119,6,6.5,1.5,1.5,25.5,0.28,2.2,1.2,
80,130,37,37,29,2,1.5,186000,289000,19000,29400,2600,3600,HB 33116 J,3DE,92,88,121,113,126,6,8,2,1.5,30.4,0.42,1.4,0.79,
80,140,28.25,26,22,2.5,2,157000,195000,16000,19900,2600,3400,HB 30216 J,3EB,95,91,130,124,132,4,6,2,2,28.1,0.42,1.4,0.79,
80,140,28.25,26,20,2.5,2,147000,190000,15000,19400,2400,3400,HB 30216 GAJ,,95,92,130,122,133,4,8,2,2,33.8,0.58,1,0.57,
80,140,35.25,33,28,2.5,2,192000,254000,19800,25900,2600,3400,HB 32216 J,3EC,95,90,130,122,134,4,7,2,2,30.6,0.42,1.4,0.79,
80,140,46,46,35,2.5,2,256000,385000,26200,39000,2600,3400,HB 33216 J,3EE,95,89,130,119,135,7,11,2,2,34.8,0.43,1.4,0.78,
80,170,42.5,39,33,3,2.5,276000,330000,28200,33500,2200,3000,HB 30316 J,2GB,98,102,158,150,159,4,9.5,2.5,2,34,0.35,1.7,0.96,
80,170,42.5,39,27,3,2.5,235000,283000,24000,28900,2000,2800,HB 30316 DJ,7GB,104,97,158,136,159,6,15.5,2.5,2,51.8,0.83,0.73,0.4,
80,170,42.5,39,27,3,2.5,235000,283000,24000,28900,2000,2800,HB 31316 J,7GB,104,97,158,136,159,6,15.5,2.5,2,51.8,0.83,0.73,0.4,
80,170,61.5,58,48,3,2.5,385000,505000,39000,51500,2200,3000,HB 32316 J,2GD,101,98,158,143,160,4,13.5,2.5,2,41.4,0.35,1.7,0.96,
80,170,61.5,58,48,3,2.5,365000,530000,37500,54000,2200,3000,HB 32316 CJ,5GD,101,95,158,132,160,4,13.5,2.5,2,49.3,0.55,1.1,0.6,
